Date,Status,TT
14-May-20,Recovered,1594
14-May-20,Deceased,97
15-May-20,Confirmed,3808
15-May-20,Recovered,2234
15-May-20,Deceased,104
16-May-20,Confirmed,4794
16-May-20,Recovered,4012
16-May-20,Deceased,120
17-May-20,Confirmed,5049
17-May-20,Recovered,2538
17-May-20,Deceased,152
18-May-20,Confirmed,4628
18-May-20,Recovered,2482
18-May-20,Deceased,131
19-May-20,Confirmed,6154
19-May-20,Recovered,3032
19-May-20,Deceased,146
