Age Bracket,Gender,age_bucket
32.0,M,31-40
40.0,F,31-40
12.0,M,11-20
,M,
49.0,M,41-50
36.0,F,31-40
41.0,M,41-50
45.0,M,41-50
35.0,M,31-40
,,
,,
35.0,M,31-40
70.0,F,61-70
64.0,M,61-70
45.0,M,41-50
42.0,M,41-50
21.0,F,21-30
24.0,M,21-30
7.0,M,0-10
1.0,M,0-10
,,
,,
,,
,,
,,
,,
,,
,,
,,
37.0,,31-40
38.0,,31-40
26.0,,21-30
49.0,M,41-50
39.0,M,31-40
36.0,M,31-40
,M,
32.0,M,31-40
21.0,M,21-30
,,
24.0,M,21-30
65.0,F,61-70
20.0,M,11-20
29.0,M,21-30
60.0,M,51-60
,,
45.0,M,41-50
,,
,,
,,
37.0,M,31-40
,,
,,
,,
,,
,,
,,
,,
,,
,,
53.0,M,51-60
,,
,,
,,
,,
,,
,,
,,
,,
,,
54.0,M,51-60
35.0,M,31-40
22.0,M,21-30
44.0,F,41-50
42.0,M,41-50
46.0,M,41-50
23.0,M,21-30
25.0,F,21-30
1.0,M,0-10
20.0,M,11-20
25.0,F,21-30
35.0,F,31-40
60.0,M,51-60
33.0,F,31-40
22.0,M,21-30
53.0,F,51-60
38.0,M,31-40
30.0,M,21-30
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
42.0,M,41-50
41.0,M,41-50
53.0,M,51-60
18.0,F,11-20
14.0,F,11-20
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
47.0,M,41-50
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
23.0,,21-30
64.0,,61-70
,,
,,
,,
,,
,,
,,
18.0,M,11-20
21.0,M,21-30
11.0,M,11-20
27.0,F,21-30
45.0,F,41-50
6.0,F,0-10
1.0,F,0-10
,,
,,
,,
,,
,,
73.0,F,71-80
61.0,M,61-70
39.0,M,31-40
45.0,F,41-50
,,
22.0,M,21-30
50.0,M,41-50
,M,
,M,
37.0,M,31-40
39.0,M,31-40
33.0,F,31-40
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
25.0,M,21-30
,,
65.0,M,61-70
,,
,,
,,
,,
42.0,M,41-50
49.0,M,41-50
,,
66.0,M,61-70
23.0,M,21-30
21.0,F,21-30
54.0,F,51-60
28.0,F,21-30
23.0,F,21-30
21.0,M,21-30
23.0,M,21-30
70.0,M,61-70
32.0,F,31-40
38.0,M,31-40
18.0,M,11-20
63.0,F,61-70
,,
,,
21.0,M,21-30
45.0,M,41-50
40.0,F,31-40
56.0,M,51-60
31.0,M,31-40
31.0,M,31-40
31.0,M,31-40
31.0,M,31-40
11.0,F,11-20
35.0,F,31-40
63.0,M,61-70
18.0,M,11-20
33.0,F,31-40
,,
,,
,,
,,
,,
,,
,,
,,
44.0,,41-50
,,
35.0,M,31-40
60.0,M,51-60
74.0,M,71-80
,,
,,
,,
,,
,,
21.0,M,21-30
25.0,M,21-30
20.0,M,11-20
24.0,M,21-30
,,
,,
,F,
,,
76.0,F,71-80
56.0,F,51-60
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
54.0,F,51-60
36.0,M,31-40
52.0,M,51-60
31.0,M,31-40
50.0,M,41-50
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
23.0,M,21-30
58.0,M,51-60
21.0,M,21-30
60.0,M,51-60
50.0,F,41-50
65.0,M,61-70
,,
,,
44.0,F,41-50
,,
,,
,,
,,
,,
30.0,M,21-30
21.0,M,21-30
40.0,M,31-40
48.0,M,41-50
21.0,M,21-30
38.0,M,31-40
17.0,F,11-20
,F,
,M,
,M,
,M,
,M,
39.0,M,31-40
38.0,M,31-40
21.0,M,21-30
31.0,M,31-40
42.0,M,41-50
,,
,,
,,
,,
,,
,,
,,
53.0,F,51-60
47.0,M,41-50
67.0,F,61-70
34.0,M,31-40
,,
,,
,,
,,
,,
21.0,M,21-30
19.0,F,11-20
53.0,M,51-60
35.0,F,31-40
34.0,M,31-40
,,
,,
,,
37.0,M,31-40
19.0,M,11-20
30.0,,21-30
45.0,,41-50
52.0,,51-60
45.0,,41-50
40.0,,31-40
48.0,,41-50
35.0,,31-40
40.0,,31-40
30.0,,21-30
25.0,,21-30
41.0,,41-50
50.0,,41-50
43.0,,41-50
28.0,,21-30
39.0,,31-40
,,
,,
,,
68.0,M,61-70
,,
29.0,F,21-30
58.0,F,51-60
1.0,M,0-10
51.0,F,51-60
45.0,M,41-50
48.0,M,41-50
67.0,M,61-70
62.0,M,61-70
35.0,M,31-40
29.0,M,21-30
47.0,M,41-50
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
52.0,M,51-60
66.0,M,61-70
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,M,
,M,
,M,
,M,
,M,
,M,
53.0,M,51-60
40.0,F,31-40
20.0,M,11-20
,,
35.0,M,31-40
,,
,,
,,
,,
,,
,,
59.0,,51-60
65.0,,61-70
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
41.0,M,41-50
,,
,,
,,
,,
,,
,,
,,
,,
38.0,M,31-40
50.0,M,41-50
92.0,M,91-100
55.0,M,51-60
45.0,F,41-50
65.0,M,61-70
,,
,,
,,
,,
49.0,M,41-50
72.0,M,71-80
25.0,M,21-30
52.0,F,51-60
76.0,F,71-80
15.0,F,11-20
20.0,M,11-20
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
50.0,F,41-50
42.0,M,41-50
77.0,M,71-80
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
32.0,M,31-40
32.0,F,31-40
23.0,M,21-30
23.0,M,21-30
40.0,F,31-40
,,
13.0,M,11-20
32.0,M,31-40
34.0,M,31-40
21.0,M,21-30
24.0,M,21-30
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,F,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
81.0,M,81-90
,,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,M,
52.0,M,51-60
48.0,F,41-50
26.0,F,21-30
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
44.0,M,41-50
17.0,F,11-20
65.0,M,61-70
60.0,M,51-60
,F,
,M,
,M,
,F,
,F,
35.0,M,31-40
55.0,M,51-60
,F,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
48.0,F,41-50
51.0,,51-60
52.0,,51-60
,,
43.0,M,41-50
28.0,M,21-30
,M,
,M,
,M,
,M,
,M,
,,
,,
,,
,,
,,
10.0,M,0-10
34.0,F,31-40
31.0,M,31-40
32.0,M,31-40
28.0,F,21-30
28.0,M,21-30
39.0,M,31-40
65.0,F,61-70
42.0,M,41-50
39.0,M,31-40
32.0,M,31-40
59.0,M,51-60
44.0,M,41-50
28.0,M,21-30
46.0,M,41-50
35.0,M,31-40
65.0,M,61-70
40.0,M,31-40
19.0,M,11-20
40.0,F,31-40
35.0,M,31-40
41.0,M,41-50
34.0,M,31-40
26.0,M,21-30
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
57.0,M,51-60
22.0,F,21-30
,F,
,F,
,F,
56.0,F,51-60
23.0,M,21-30
,,
,,
43.0,F,41-50
,,
23.0,,21-30
52.0,M,51-60
28.0,,21-30
60.0,F,51-60
40.0,M,31-40
62.0,F,61-70
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,,
,,
,,
,,
35.0,M,31-40
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
31.0,M,31-40
36.0,M,31-40
27.0,M,21-30
35.0,M,31-40
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
70.0,M,61-70
23.0,M,21-30
21.0,M,21-30
70.0,M,61-70
29.0,M,21-30
31.0,M,31-40
40.0,M,31-40
,F,
,,
,M,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,F,
58.0,M,51-60
31.0,M,31-40
52.0,M,51-60
18.0,M,11-20
45.0,F,41-50
65.0,F,61-70
68.0,M,61-70
54.0,M,51-60
58.0,F,51-60
67.0,M,61-70
40.0,M,31-40
54.0,M,51-60
50.0,M,41-50
41.0,M,41-50
25.0,M,21-30
50.0,M,41-50
20.0,M,11-20
54.0,M,51-60
36.0,F,31-40
40.0,M,31-40
26.0,M,21-30
40.0,M,31-40
41.0,M,41-50
46.0,M,41-50
53.0,M,51-60
36.0,M,31-40
35.0,M,31-40
39.0,M,31-40
36.0,M,31-40
39.0,M,31-40
27.0,M,21-30
45.0,M,41-50
34.0,M,31-40
47.0,M,41-50
48.0,M,41-50
39.0,M,31-40
44.0,M,41-50
,,
54.0,M,51-60
45.0,M,41-50
30.0,M,21-30
33.0,M,31-40
50.0,M,41-50
50.0,M,41-50
20.0,F,11-20
53.0,M,51-60
46.0,M,41-50
50.0,M,41-50
39.0,M,31-40
31.0,M,31-40
35.0,M,31-40
80.0,M,71-80
35.0,M,31-40
,,
,,
72.0,F,71-80
24.0,M,21-30
37.0,M,31-40
27.0,M,21-30
33.0,M,31-40
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,M,
,F,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
65.0,M,61-70
28.0,M,21-30
40.0,M,31-40
34.0,M,31-40
36.0,M,31-40
41.0,M,41-50
38.0,M,31-40
39.0,M,31-40
40.0,M,31-40
30.0,M,21-30
45.0,M,41-50
57.0,M,51-60
32.0,M,31-40
34.0,M,31-40
45.0,M,41-50
52.0,M,51-60
40.0,M,31-40
46.0,M,41-50
37.0,M,31-40
47.0,M,41-50
33.0,M,31-40
21.0,M,21-30
44.0,M,41-50
39.0,M,31-40
38.0,M,31-40
55.0,M,51-60
31.0,M,31-40
51.0,M,51-60
34.0,M,31-40
40.0,M,31-40
50.0,M,41-50
43.0,M,41-50
33.0,M,31-40
38.0,M,31-40
37.0,M,31-40
26.0,M,21-30
54.0,M,51-60
60.0,M,51-60
50.0,M,41-50
63.0,M,61-70
55.0,M,51-60
56.0,M,51-60
66.0,M,61-70
52.0,M,51-60
63.0,M,61-70
27.0,M,21-30
40.0,M,31-40
48.0,M,41-50
54.0,M,51-60
71.0,M,71-80
31.0,M,31-40
50.0,M,41-50
48.0,M,41-50
68.0,M,61-70
36.0,M,31-40
47.0,M,41-50
55.0,M,51-60
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
22.0,M,21-30
55.0,M,51-60
35.0,M,31-40
35.0,M,31-40
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
,M,
48.0,M,41-50
42.0,M,41-50
48.0,M,41-50
38.0,M,31-40
40.0,M,31-40
,M,
,M,
58.0,M,51-60
,M,
,M,
,M,
,M,
42.0,M,41-50
40.0,M,31-40
27.0,M,21-30
39.0,M,31-40
41.0,M,41-50
38.0,M,31-40
25.0,M,21-30
42.0,M,41-50
66.0,M,61-70
18.0,F,11-20
52.0,F,51-60
52.0,F,51-60
72.0,F,71-80
32.0,F,31-40
11.0,M,11-20
15.0,M,11-20
,,
,,
,,
,,
,,
32.0,F,31-40
17.0,M,11-20
47.0,,41-50
61.0,,61-70
30.0,,21-30
,,
,,
50.0,M,41-50
36.0,M,31-40
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
27.0,F,21-30
42.0,M,41-50
27.0,M,21-30
36.0,F,31-40
78.0,M,71-80
49.0,M,41-50
26.0,M,21-30
63.0,M,61-70
63.0,M,61-70
27.0,F,21-30
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
25.0,M,21-30
36.0,F,31-40
18.0,F,11-20
16.0,M,11-20
42.0,M,41-50
43.0,M,41-50
43.0,M,41-50
,M,
40.0,M,31-40
72.0,M,71-80
72.0,M,71-80
40.0,M,31-40
61.0,M,61-70
36.0,M,31-40
52.0,M,51-60
52.0,M,51-60
,M,
31.0,M,31-40
10.0,F,0-10
10.0,F,0-10
,M,
10.0,M,0-10
40.0,M,31-40
53.0,F,51-60
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
61.0,F,61-70
,,
,,
60.0,,51-60
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
73.0,M,71-80
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
43.0,M,41-50
34.0,M,31-40
42.0,M,41-50
43.0,M,41-50
32.0,M,31-40
47.0,M,41-50
31.0,M,31-40
36.0,M,31-40
35.0,M,31-40
37.0,M,31-40
39.0,M,31-40
46.0,M,41-50
33.0,M,31-40
43.0,M,41-50
,,
23.0,M,21-30
,,
,,
52.0,M,51-60
,,
,,
65.0,M,61-70
,,
,,
,,
,,
48.0,M,41-50
30.0,M,21-30
41.0,M,41-50
66.0,M,61-70
59.0,M,51-60
39.0,M,31-40
60.0,M,51-60
63.0,M,61-70
73.0,M,71-80
45.0,M,41-50
60.0,F,51-60
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
60.0,M,51-60
38.0,M,31-40
,,
,,
,,
,,
,,
,,
,,
,,
70.0,F,61-70
35.0,F,31-40
10.0,M,0-10
7.0,M,0-10
58.0,,51-60
27.0,F,21-30
28.0,,21-30
36.0,,31-40
,,
,,
,,
,M,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
1.0,F,0-10
,,
,,
,M,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
36.0,M,31-40
24.0,M,21-30
22.0,M,21-30
14.0,M,11-20
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
28.0,M,21-30
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
17.0,M,11-20
60.0,F,51-60
